"cuid","cuname.x","cu_acronym","du_number","du_acronym","DU_name","DU_name_short","FULL_CU_IN","spp","gen_length","COSEWIC_status","survey_quality","survey_coverage","survey_execution","catch_quality","dq_score","cu_enh_rank","Sites","Region"
219,"Nass-Skeena Estuary (even)",NA,"PE15",NA,"Skeena Estuary","Skeena Estuary","PKE-07","Pink",2,NA,0,4,3,3,10,"Low",NA,"Skeena"
219,"Nass-Skeena Estuary (even)",NA,"PE15",NA,"Skeena Estuary","Skeena Estuary","PKE-07","Pink",2,NA,0,4,3,3,10,"Low",NA,"Skeena"
219,"Nass-Skeena Estuary (even)",NA,"PE16",NA,"Lower Skeena","Lower Skeena","PKE-07","Pink",2,NA,0,4,3,3,10,"Low",NA,"Skeena"
219,"Nass-Skeena Estuary (even)",NA,"PE16",NA,"Lower Skeena","Lower Skeena","PKE-07","Pink",2,NA,0,4,3,3,10,"Low",NA,"Skeena"
219,"Nass-Skeena Estuary (even)",NA,"PE19",NA,"Lower Nass - Portland Canal","Portland Canal","PKE-07","Pink",2,NA,0,4,3,3,10,"Low",NA,"Skeena"
219,"Nass-Skeena Estuary (even)",NA,"PE19",NA,"Lower Nass - Portland Canal","Portland Canal","PKE-07","Pink",2,NA,0,4,3,3,10,"Low",NA,"Skeena"
223,"Nass-Skeena Estuary (odd)",NA,"PO23",NA,"Skeena Estuary","Skeena Estuary","PKO-14","Pink",2,NA,1,2,3,3,9,"Low",37,"Skeena"
240,"Lower Skeena (even)",NA,"PE16",NA,"Lower Skeena","Lower Skeena","PKE-7","Pink",2,NA,0,0,0,0,0,NA,164,"Skeena"
412,"Upper Nass",NA,"PO28",NA,"Upper Nass","Upper Nass","PKO-18","Pink",NA,NA,0,0,0,0,0,"None",5,"Nass"
414,"Nass-Portland-Observatory",NA,"PO27",NA,"Lower Nass - Portland Canal","Portland Canal","PKO-17","Pink",2,NA,1,4,2,3,10,"None",60,"Nass"
415,"Upper Nass",NA,"PE20",NA,"Upper Nass","Upper Nass","PKE-12","Pink",NA,NA,0,0,0,0,0,"None",6,"Nass"
608,"Hecate Lowlands",NA,"PE11",NA,"Rivers - Smith Inlets","Rivers/Smith Inlets","PKE-05","Pink",2,NA,0,4,3,2,9,"None",NA,"CC"
608,"Hecate Lowlands",NA,"PE11",NA,"Rivers - Smith Inlets","Rivers/Smith Inlets","PKE-05","Pink",2,NA,0,4,3,2,9,"None",NA,"CC"
608,"Hecate Lowlands",NA,"PE13",NA,"Hecate Strait Mainland","Hecate Strait Mainland","PKE-05","Pink",2,NA,0,4,3,2,9,"None",NA,"CC"
608,"Hecate Lowlands",NA,"PE13",NA,"Hecate Strait Mainland","Hecate Strait Mainland","PKE-05","Pink",2,NA,0,4,3,2,9,"None",NA,"CC"
609,"Hecate Strait-Fjords",NA,"PE12",NA,"Bella Coola - Dean Rivers","Bella Coola/Dean ","PKE-06","Pink",2,NA,0,4,4,2,10,"None",NA,"CC"
609,"Hecate Strait-Fjords",NA,"PE12",NA,"Bella Coola - Dean Rivers","Bella Coola/Dean ","PKE-06","Pink",2,NA,0,4,4,2,10,"None",NA,"CC"
609,"Hecate Strait-Fjords",NA,"PE12",NA,"Bella Coola - Dean Rivers","Bella Coola/Dean ","PKE-06","Pink",2,NA,0,4,4,2,10,"None",NA,"CC"
609,"Hecate Strait-Fjords",NA,"PE12",NA,"Bella Coola - Dean Rivers","Bella Coola/Dean ","PKE-06","Pink",2,NA,0,4,4,2,10,"None",NA,"CC"
609,"Hecate Strait-Fjords",NA,"PE14",NA,"Northern Coastal Streams","Northern Coastal Streams","PKE-06","Pink",2,NA,0,4,4,2,10,"None",NA,"CC"
609,"Hecate Strait-Fjords",NA,"PE14",NA,"Northern Coastal Streams","Northern Coastal Streams","PKE-06","Pink",2,NA,0,4,4,2,10,"None",NA,"CC"
609,"Hecate Strait-Fjords",NA,"PE14",NA,"Northern Coastal Streams","Northern Coastal Streams","PKE-06","Pink",2,NA,0,4,4,2,10,"None",NA,"CC"
609,"Hecate Strait-Fjords",NA,"PE14",NA,"Northern Coastal Streams","Northern Coastal Streams","PKE-06","Pink",2,NA,0,4,4,2,10,"None",NA,"CC"
610,"Homathko-Klinaklini-Rivers-Smith-Bella Coola Dean",NA,"PO12",NA,"Homathko - Klinaklini","Homathko/Klinaklini","PKO-08","Pink",2,NA,0,2,1,2,5,"Low",NA,"CC"
610,"Homathko-Klinaklini-Rivers-Smith-Bella Coola Dean",NA,"PO12",NA,"Homathko - Klinaklini","Homathko/Klinaklini","PKO-08","Pink",2,NA,0,2,1,2,5,"Low",NA,"CC"
610,"Homathko-Klinaklini-Rivers-Smith-Bella Coola Dean",NA,"PO19",NA,"Rivers-Smith Inlets","Rivers/Smith Inlets","PKO-08","Pink",2,NA,0,2,1,2,5,"Low",NA,"CC"
610,"Homathko-Klinaklini-Rivers-Smith-Bella Coola Dean",NA,"PO19",NA,"Rivers-Smith Inlets","Rivers/Smith Inlets","PKO-08","Pink",2,NA,0,2,1,2,5,"Low",NA,"CC"
610,"Homathko-Klinaklini-Rivers-Smith-Bella Coola Dean",NA,"PO20",NA,"Bella Coola - Dean Rivers","Bella Coola/Dean ","PKO-08","Pink",2,NA,0,2,1,2,5,"Low",NA,"CC"
610,"Homathko-Klinaklini-Rivers-Smith-Bella Coola Dean",NA,"PO20",NA,"Bella Coola - Dean Rivers","Bella Coola/Dean ","PKO-08","Pink",2,NA,0,2,1,2,5,"Low",NA,"CC"
611,"Hecate Strait-Lowlands",NA,"PO21",NA,"Hecate Strait Mainland","Hecate Strait Mainland","PKO-12","Pink",2,NA,1,3,3,2,9,"None",182,"CC"
611,"Hecate Strait-Lowlands",NA,"PO21",NA,"Hecate Strait Mainland","Hecate Strait Mainland","PKO-12","Pink",2,NA,1,3,3,2,9,"None",182,"CC"
612,"Hecate Strait-Fjords",NA,"PO22",NA,"Northern Coastal Streams","Northern Coastal Streams","PKO-13","Pink",2,NA,1,4,3,2,10,"None",105,"CC"
612,"Hecate Strait-Fjords",NA,"PO22",NA,"Northern Coastal Streams","Northern Coastal Streams","PKO-13","Pink",2,NA,1,4,3,2,10,"None",105,"CC"
612,"Hecate Strait-Fjords",NA,"PO22",NA,"Northern Coastal Streams","Northern Coastal Streams","PKO-13","Pink",2,NA,1,4,3,2,10,"None",105,"CC"
612,"Hecate Strait-Fjords",NA,"PO22",NA,"Northern Coastal Streams","Northern Coastal Streams","PKO-13","Pink",2,NA,1,4,3,2,10,"None",105,"CC"
710,"Fraser River",NA,"PO01",NA,"Lower Fraser","Lower Fraser","PKO-1","Pink",2,NA,5,5,5,5,20,"Moderate",96,"Fraser"
710,"Fraser River",NA,"PO02",NA,"Lillooet","Lillooet","PKO-1","Pink",2,NA,5,5,5,5,20,"Moderate",96,"Fraser"
710,"Fraser River",NA,"PO03",NA,"Fraser Canyon","Fraser Canyon","PKO-1","Pink",2,NA,5,5,5,5,20,"Moderate",96,"Fraser"
710,"Fraser River",NA,"PO04",NA,"Middle Fraser","Middle Fraser","PKO-1","Pink",2,NA,5,5,5,5,20,"Moderate",96,"Fraser"
710,"Fraser River",NA,"PO05",NA,"Upper Fraser","Upper Fraser","PKO-1","Pink",2,NA,5,5,5,5,20,"Moderate",96,"Fraser"
710,"Fraser River",NA,"PO06",NA,"Lower Thompson","Lower Thompson","PKO-1","Pink",2,NA,5,5,5,5,20,"Moderate",96,"Fraser"
710,"Fraser River",NA,"PO07",NA,"South Thompson","South Thompson","PKO-1","Pink",2,NA,5,5,5,5,20,"Moderate",96,"Fraser"
710,"Fraser River",NA,"PO08",NA,"North Thompson","North Thompson","PKO-1","Pink",2,NA,5,5,5,5,20,"Moderate",96,"Fraser"
810,"North Haida Gwaii",NA,"PE09",NA,"Haida Gwaii - North","North","PKE-09","Pink",2,NA,0,3,1,2,6,"None",NA,"HG"
810,"North Haida Gwaii",NA,"PE09",NA,"Haida Gwaii - North","North","PKE-09","Pink",2,NA,0,3,1,2,6,"None",NA,"HG"
811,"East Haida Gwaii",NA,"PE10",NA,"Haida Gwaii - East","East","PKE-10","Pink",2,NA,0,2,1,2,5,"Low",100,"HG"
811,"East Haida Gwaii",NA,"PE10",NA,"Haida Gwaii - East","East","PKE-10","Pink",2,NA,0,2,1,2,5,"Low",100,"HG"
812,"West Haida Gwaii",NA,"PE08",NA,"Haida Gwaii - West","West","PKE-11","Pink",2,NA,0,2,1,2,5,"None",66,"HG"
812,"West Haida Gwaii",NA,"PE08",NA,"Haida Gwaii - West","West","PKE-11","Pink",2,NA,0,2,1,2,5,"None",66,"HG"
813,"East Haida Gwaii",NA,"PO18",NA,"Haida Gwaii - East","East","PKO-09","Pink",2,NA,0,1,1,2,4,"Low",NA,"HG"
813,"East Haida Gwaii",NA,"PO18",NA,"Haida Gwaii - East","East","PKO-09","Pink",2,NA,0,1,1,2,4,"Low",NA,"HG"
814,"North Haida Gwaii",NA,"PO17",NA,"Haida Gwaii - North","North","PKO-10","Pink",2,NA,0,0,0,2,2,"None",13,"HG"
814,"North Haida Gwaii",NA,"PO17",NA,"Haida Gwaii - North","North","PKO-10","Pink",2,NA,0,0,0,2,2,"None",13,"HG"
815,"West Haida Gwaii",NA,"PO16",NA,"Haida Gwaii - West","West","PKO-11","Pink",2,NA,0,1,0,2,3,"None",39,"HG"
815,"West Haida Gwaii",NA,"PO16",NA,"Haida Gwaii - West","West","PKO-11","Pink",2,NA,0,1,0,2,3,"None",39,"HG"
917,"Georgia Strait",NA,"PE01",NA,"Georgia Strait Mainland","Georgia Strait Mainland","PKE-1","Pink",2,NA,4,4,4,3,15,"Moderate",68,"VIMI"
917,"Georgia Strait",NA,"PE01",NA,"Georgia Strait Mainland","Georgia Strait Mainland","PKE-1","Pink",2,NA,4,4,4,3,15,"Moderate",68,"VIMI"
917,"Georgia Strait",NA,"PE02",NA,"E Vancouver Is - Georgia Strait","East VI - Georgia Strait","PKE-1","Pink",2,NA,4,4,4,3,15,"Moderate",68,"VIMI"
917,"Georgia Strait",NA,"PE02",NA,"E Vancouver Is - Georgia Strait","East VI - Georgia Strait","PKE-1","Pink",2,NA,4,4,4,3,15,"Moderate",68,"VIMI"
918,"West Vancouver Island",NA,"PE06",NA,"West Vancouver Island","West VI","PKE-2","Pink",2,NA,0,0,0,0,0,"Low",85,"VIMI"
919,"Northwest Vancouver Island",NA,"PE07",NA,"Northwest Vancouver Island","Northwest VI","PKE-3","Pink",2,NA,0,0,0,0,0,"Low",35,"VIMI"
920,"Southern Fjords",NA,"PE03",NA,"South Coastal Streams - Queen Charlotte Strait - Johnstone Strait - Southern Fjords","Southern Coastal Streams","PKE-4","Pink",2,NA,3,2,4,3,12,"Moderate",102,"VIMI"
920,"Southern Fjords",NA,"PE03",NA,"South Coastal Streams - Queen Charlotte Strait - Johnstone Strait - Southern Fjords","Southern Coastal Streams","PKE-4","Pink",2,NA,3,2,4,3,12,"Moderate",102,"VIMI"
920,"Southern Fjords",NA,"PE04",NA,"Homathko - Klinaklini","Homathko - Klinaklini","PKE-4","Pink",2,NA,3,2,4,3,12,"Moderate",102,"VIMI"
920,"Southern Fjords",NA,"PE04",NA,"Homathko - Klinaklini","Homathko - Klinaklini","PKE-4","Pink",2,NA,3,2,4,3,12,"Moderate",102,"VIMI"
920,"Southern Fjords",NA,"PE05",NA,"E Vancouver Is - Johnstone Strait - Southern Fjords","ECVI-Johnstone Strait-S Fjords","PKE-4","Pink",2,NA,3,2,4,3,12,"Moderate",102,"VIMI"
920,"Southern Fjords",NA,"PE05",NA,"E Vancouver Is - Johnstone Strait - Southern Fjords","ECVI-Johnstone Strait-S Fjords","PKE-4","Pink",2,NA,3,2,4,3,12,"Moderate",102,"VIMI"
921,"East Howe Sound-Burrard Inlet",NA,NA,NA,NA,NA,"PKO-2","Pink",2,NA,0,0,0,3,3,"Moderate",13,"VIMI"
922,"Georgia Strait",NA,"PO09",NA,"Georgia Strait Mainland","Georgia Strait Mainland","PKO-3","Pink",2,NA,3,3,5,3,14,"Moderate",78,"VIMI"
922,"Georgia Strait",NA,"PO09",NA,"Georgia Strait Mainland","Georgia Strait Mainland","PKO-3","Pink",2,NA,3,3,5,3,14,"Moderate",78,"VIMI"
923,"East Vancouver Island-Johnstone Strait",NA,"PO10",NA,"E Vancouver Is - Georgia Strait","ECVI-Georgia Strait","PKO-4","Pink",2,NA,3,4,5,3,15,"Moderate",12,"VIMI"
924,"Nahwitti",NA,"PO15",NA,"Northwest Vancouver Island","Northwest VI","PKO-5","Pink",2,NA,5,2,3,3,13,"Moderate",24,"VIMI"
925,"West Vancouver Island",NA,"PO14",NA,"West Vancouver Island","West VI","PKO-6","Pink",2,NA,0,0,0,0,0,"None",67,"VIMI"
926,"Southern Fjords",NA,"PO11",NA,"South Coastal Streams - Queen Charlotte Strait - Johntsone Strait - Southern Fjords","Southern Coastal Streams","PKO-7","Pink",2,NA,3,1,2,3,9,"None",48,"VIMI"
926,"Southern Fjords",NA,"PO11",NA,"South Coastal Streams - Queen Charlotte Strait - Johntsone Strait - Southern Fjords","Southern Coastal Streams","PKO-7","Pink",2,NA,3,1,2,3,9,"None",48,"VIMI"
1019,"TRANSBOUNDARY FJORDS","TBFj","PE21","UNUK","Unuk","Unuk","PKE-13","Pink",NA,NA,NA,NA,NA,NA,NA,NA,1,"Transboundary"
1019,"TRANSBOUNDARY FJORDS","TBFj","PE22","LSTK","Lower Stikine","Lower Stikine","PKE-13","Pink",NA,NA,NA,NA,NA,NA,NA,NA,1,"Transboundary"
1019,"TRANSBOUNDARY FJORDS","TBFj","PE23","WHITING","Whiting","Whiting","PKE-13","Pink",NA,NA,NA,NA,NA,NA,NA,NA,1,"Transboundary"
1019,"TRANSBOUNDARY FJORDS","TBFj","PE24","TAKU","Taku","Taku","PKE-13","Pink",NA,NA,NA,NA,NA,NA,NA,NA,1,"Transboundary"
1019,"TRANSBOUNDARY FJORDS","TBFj","PE25","CHILKAT","Chilkat","Chilkat","PKE-13","Pink",NA,NA,NA,NA,NA,NA,NA,NA,1,"Transboundary"
1020,"TRANSBOUNDARY FJORDS","TBFj","PO29","UNUK","Unuk","Unuk","PKO-19","Pink",NA,NA,NA,NA,NA,NA,NA,NA,1,"Transboundary"
1020,"TRANSBOUNDARY FJORDS","TBFj","PO30","LSTK","Lower Stikine","Lower Stikine","PKO-19","Pink",NA,NA,NA,NA,NA,NA,NA,NA,1,"Transboundary"
1020,"TRANSBOUNDARY FJORDS","TBFj","PO31","WHITING","Whitiing","Whitiing","PKO-19","Pink",NA,NA,NA,NA,NA,NA,NA,NA,1,"Transboundary"
1020,"TRANSBOUNDARY FJORDS","TBFj","PO32","TAKU","Taku","Taku","PKO-19","Pink",NA,NA,NA,NA,NA,NA,NA,NA,1,"Transboundary"
1020,"TRANSBOUNDARY FJORDS","TBFj","PO33","CHILKAT","Chilkat","Chilkat","PKO-19","Pink",NA,NA,NA,NA,NA,NA,NA,NA,1,"Transboundary"
NA,"not yet defined; includes some seapen releases",NA,NA,NA,NA,NA,NA,"Pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"PE26","ALSEK","Alsek","Alsek",NA,"Pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"PO13",NA,"E Vancouver Is - Johnstone Strait - Southern Fjords","E Vancouver Is - Johnstone Strait - Southern Fjords",NA,"Pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"PO34","ALSEK","Alsek","Alsek",NA,"Pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,"Alastair","ALASTAIR","SE149","ALASTAIR","Alastair","Alastair","SEL-20-01","Sockeye-Lake",6,"Status assessment recommended",1,4,5,5,15,"None",4,"Skeena"
172,"Aldrich","ALDRICH","SE150","ALDRICH","Aldrich","Aldrich",NA,"Sockeye-Lake",5,NA,NA,NA,NA,NA,NA,NA,NA,"Skeena"
173,"Dennis","DENNIS","SE151","DENNIS","Dennis","Dennis",NA,"Sockeye-Lake",5,"Status assessment recommended",NA,NA,NA,NA,NA,NA,NA,"Skeena"
174,"Ecstall/Lower","ECSTALL/LOWER","SE152","ECSTALL/LOWER","Ecstall/Lower","Ecstall/Lower","SEL-20-04","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"Skeena"
175,"Johnston","JOHNSTON","SE153","JOHNSTON","Johnston","Johnston","SEL-20-05","Sockeye-Lake",5,NA,0,0,0,0,0,"None",2,"Skeena"
176,"Kitsumkalum",NA,"SE154","KALUM","Kitsumkalum","Kitsumkalum","SEL-20-06","Sockeye-Lake",5,NA,1,2,2,5,10,"None",8,"Skeena"
177,"Lakelse","LAKELSE","SE155","LAKELSE","Lakelse","Lakelse","SEL-20-07","Sockeye-Lake",5,NA,1,5,3,5,14,"High",10,"Skeena"
178,"Mcdonell","MCDONELL","SE156","MCDONELL","Mcdonell","Mcdonell","SEL-20-08","Sockeye-Lake",5,NA,2,5,4,5,16,"None",1,"Skeena"
179,"Atna","ATNA","SE157","ATNA","Atna","Atna",NA,"Sockeye-Lake",5,NA,NA,NA,NA,NA,NA,NA,NA,"Skeena"
180,"Babine","BABINE","SE158","BABINE","Babine","Babine","SEL-21-02-EW","Sockeye-Lake",5,"Status assessment recommended",2,5,5,5,17,"None",NA,"Skeena"
181,"Bulkley","BULKLEY","SE159","BULKLEY","Bulkley","Bulkley","SEL-21-03","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"Skeena"
182,"Club Lake",NA,NA,NA,NA,NA,NA,"Sockeye-Lake",5,NA,NA,NA,NA,NA,NA,NA,NA,"Skeena"
183,"Gitanyow",NA,"SE160","KITWANCOOL","Kitwancool","Kitwancool","SEL-21-05","Sockeye-Lake",5,"Status assessment recommended",3,5,5,5,18,"None",2,"Skeena"
184,"Maxan","MAXAN","SE161","MAXAN","Maxan","Maxan",NA,"Sockeye-Lake",5,NA,NA,NA,NA,NA,NA,NA,NA,"Skeena"
185,"Morice","MORICE","SE162","MORICE","Morice","Morice","SEL-21-07","Sockeye-Lake",6,NA,3,4,5,5,17,"None",4,"Skeena"
186,"Nilkitkwa",NA,NA,NA,NA,NA,"SEL-21-02-LW","Sockeye-Lake",5,NA,3,5,5,5,18,"None",NA,"Skeena"
187,"Stephens","STEPHENS","SE163","STEPHENS","Stephens","Stephens","SEL-21-09","Sockeye-Lake",5,"Status assessment recommended",2,4,5,5,16,"None",9,"Skeena"
188,"Swan",NA,NA,NA,NA,NA,"SEL-21-10","Sockeye-Lake",5,NA,0,2,3,5,10,"None",NA,"Skeena"
189,"Tahlo/Morrison",NA,"SE164","TAHLO/MORRISON","Tahlo/Morrison","Tahlo/Morrison","SEL-21-02-MW","Sockeye-Lake",5,NA,0,4,5,5,14,"None",NA,"Skeena"
190,"Asitika","ASITIKA","SE166","ASITIKA","Asitika","Asitika","SEL-22-01","Sockeye-Lake",5,"Status assessment recommended",0,5,4,5,14,"None",1,"Skeena"
191,"Azuklotz","AZUKLOTZ","SE167","AZUKLOTZ","Azuklotz","Azuklotz","SEL-22-02","Sockeye-Lake",5,NA,2,5,2,5,14,"None",1,"Skeena"
192,"Bear","BEAR","SE168","BEAR","Bear","Bear","SEL-22-03","Sockeye-Lake",5,NA,1,4,1,5,11,"None",3,"Skeena"
193,"Damshilgwit","DAMSHILGWIT","SE169","DAMSHILGWIT","Damshilgwit","Damshilgwit","SEL-22-04","Sockeye-Lake",5,"Status assessment recommended",5,5,5,5,20,"None",1,"Skeena"
194,"Johanson","JOHANSON","SE170","JOHANSON","Johanson","Johanson","SEL-22-05","Sockeye-Lake",5,"Status assessment recommended",0,0,0,0,0,"None",1,"Skeena"
195,"Kluatantan","KLUATANTAN","SE171","KLUATANTAN","Kluatantan","Kluatantan","SEL-22-06","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"Skeena"
196,"Kluayaz","KLUAYAZ","SE172","KLUAYAZ","Kluayaz","Kluayaz","SEL-22-07","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"Skeena"
197,"Motase","MOTASE","SE173","MOTASE","Motase","Motase","SEL-22-08","Sockeye-Lake",5,NA,2,5,1,5,13,"None",1,"Skeena"
198,"Sicintine","SICINTINE","SE174","SICINTINE","Sicintine","Sicintine","SEL-22-09","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"Skeena"
199,"Slamgeesh","SLAMGEESH","SE175","SLAMGEESH","Slamgeesh","Slamgeesh","SEL-22-10","Sockeye-Lake",5,NA,0,0,0,0,0,"None",2,"Skeena"
200,"Spawning","SPAWNING","SE176","SPAWNING","Spawning","Spawning","SEL-22-11","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"Skeena"
201,"Sustut","SUSTUT","SE177","SUSTUT","Sustut","Sustut","SEL-22-12","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"Skeena"
203,"Babine (enhanced)",NA,"SE158","BABINE","Babine","Babine","SEL-21-02-F","Sockeye-Lake",5,NA,5,5,5,5,20,"High",NA,"Skeena"
204,"Babine-Pinkut",NA,NA,NA,NA,NA,NA,"Sockeye-Lake",5,NA,NA,NA,NA,NA,NA,NA,NA,"Skeena"
230,"Footsore/Hodder","FOOTSORE/HODDER","SE165","FOOTSORE/HODDER","Footsore/Hodder","Footsore/Hodder","SEL-21-12","Sockeye-Lake",5,NA,0,0,0,0,0,"None",3,"Skeena"
243,"Onerka","ONERKA","T47","ONERKA","Onerka","Onerka",NA,"Sockeye-Lake",5,NA,NA,NA,NA,NA,NA,NA,NA,"Skeena"
416,"Prudhomme","PRUDHOMME","SE137","PRUDHOMME","Prudhomme","Prudhomme","SEL-19-49","Sockeye-Lake",5,NA,0,0,0,0,0,NA,3,"Skeena"
417,"Shawatlan","SHAWATLAN","SE141","SHAWATLAN","Shawatlan","Shawatlan","SEL-19-54","Sockeye-Lake",5,NA,0,0,0,0,0,NA,1,"Skeena"
418,"Clements","CLEMENTS","T48","CLEMENTS","Clements","Clements",NA,"Sockeye-Lake",NA,NA,0,0,0,0,0,"None",NA,"Nass"
419,"Leverson",NA,"T49","SPLIT_MTN/LEVERSON","Split Mountain/Leverson","Split Mountain/Leverson",NA,"Sockeye-Lake",NA,NA,0,0,0,0,0,"None",NA,"Nass"
420,"Bowser","BOWSER","SE178","BOWSER","Bowser","Bowser",NA,"Sockeye-Lake",NA,NA,0,0,0,0,0,"None",NA,"Nass"
421,"Damdochax","DAMDOCHAX","SE179","DAMDOCHAX","Damdochax/Wiminasik","Damdochax/Wiminasik","SEL-24-02","Sockeye-Lake",5,NA,4,5,4,5,18,"None",1,"Nass"
422,"Fred Wright","FWRIGHT","SE180","FWRIGHT","Fred Wright","Fred Wright","SEL-24-03","Sockeye-Lake",5,NA,3,5,5,5,18,"None",1,"Nass"
423,"Kwinageese","KWINAGEESE","SE181","KWINAGEESE","Kwinageese","Kwinageese",NA,"Sockeye-Lake",NA,NA,0,0,0,0,0,"None",NA,"Nass"
424,"Meziadin","MEZIADIN","SE182","MEZIADIN","Meziadin","Meziadin","SEL-24-05","Sockeye-Lake",5,"Status assessment recommended",3,5,5,5,18,"None",1,"Nass"
425,"Oweegee","OWEEGEE","SE183","OWEEGEE","Oweegee","Oweegee",NA,"Sockeye-Lake",NA,NA,0,0,0,0,0,"None",NA,"Nass"
524,"Long","LONG","SE100","LONG","Long","Long","SEL-15-01","Sockeye-Lake",5,NA,1,5,2,2,10,"Low",3,"CC"
525,"Owikeno","OWIKENO","SE101","OWIKENO","Owikeno","Owikeno","SEL-15-02","Sockeye-Lake",5,NA,1,3,4,2,10,"Low",9,"CC"
526,"Owikeno-Late","OWIKENO-L","T06","OWIKENO-L","Owikeno","Owikeno","SEL-15-03","Sockeye-Lake",5,NA,0,0,0,0,0,NA,2,"CC"
527,"Wannock[Owikeno]","WANNOCK","SE102","WANNOCK","Wannock","Wannock","SEL-15-04","Sockeye-Lake",5,NA,0,0,0,0,0,"Low",1,"CC"
528,"South Atnarko Lakes",NA,"SE103","S_ATNARKO","S Atnarko","S Atnarko","SX_528","Sockeye-Lake",5,NA,1,5,5,2,13,"High",NA,"CC"
529,"Backland","BACKLAND","T10","BACKLAND","Backland","Backland","SEL-18-01","Sockeye-Lake",5,NA,0,5,4,2,11,"None",1,"CC"
530,"Soda Creek",NA,NA,NA,NA,NA,"SEL-18-10","Sockeye-Lake",5,NA,0,0,0,0,0,"None",NA,"CC"
531,"Whalen","WHALEN","T12","WHALEN","Whalen","Whalen","SEL-18-11","Sockeye-Lake",5,NA,0,0,0,0,0,NA,1,"CC"
532,"Canoona","CANOONA","SE104","CANOONA","Canoona","Canoona","SEL-18-02","Sockeye-Lake",5,NA,1,5,3,2,11,"None",1,"CC"
533,"Dome","DOME","T11","DOME","Dome","Dome","SEL-18-03","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
534,"Evelyn","EVELYN","SE105","EVELYN","Evelyn","Evelyn","SEL-18-04","Sockeye-Lake",5,NA,3,5,5,2,15,"None",1,"CC"
535,"Kainet Creek","KAINET","SE106","KAINET","Kainet","Kainet","SEL-18-05","Sockeye-Lake",5,NA,1,5,5,2,13,"None",1,"CC"
536,"Kimsquit","KIMSQUIT","SE107","KIMSQUIT","Kimsquit","Kimsquit","SEL-18-06","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
537,"Kitkiata",NA,"SE108","KITKATLA","Kitkatla","Kitkatla","SEL-18-07","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
538,"Kitlope","KITLOPE","SE109","KITLOPE","Kitlope","Kitlope","SEL-18-08","Sockeye-Lake",5,NA,0,5,5,2,12,"None",1,"CC"
539,"Pine River","PINE","SE110","PINE","Pine","Pine","SEL-18-09","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
540,"Banks","BANKS","SE111","BANKS","Banks","Banks","SEL-19-01","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
541,"Bloomfield","BLOOMFIELD","SE112","BLOOMFIELD","Bloomfield","Bloomfield","SEL-19-02","Sockeye-Lake",5,NA,0,5,2,2,9,"None",1,"CC"
542,"Bolton Creek","BOLTON","SE113","BOLTON","Bolton","Bolton","SEL-19-03","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
543,"Bonilla","BONILLA","SE114","BONILLA","Bonilla","Bonilla","SEL-19-04","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
544,"Borrowman Creek","BORROWMAN","T13","BORROWMAN","Borrowman","Borrowman","SEL-19-05","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
545,"Busey Creek","BUSEY","T14","BUSEY","Busey","Busey","SEL-19-06","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
546,"Cartwright Creek","CARTWRIGHT","T15","CARTWRIGHT","Cartwright Creek","Cartwright Creek","SEL-19-07","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
547,"Chic Chic","CHIC CHIC","T16","CHIC CHIC","Chic Chic","Chic Chic","SEL-19-08","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
548,"Citeyats",NA,"SE115","TUWARTZ","Tuwartz","Tuwartz","SEL-19-09","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
549,"Fannie Cove","FANNIE","SE116","FANNIE","Fannie","Fannie","SEL-19-10","Sockeye-Lake",5,NA,0,0,0,0,0,"None",2,"CC"
550,"Curtis Inlet","CURTIS","SE117","CURTIS","Curtis","Curtis","SEL-19-11","Sockeye-Lake",5,NA,1,5,3,2,11,"Moderate",1,"CC"
551,"Dallain Creek","DALLAIN","T17","DALLAIN","Dallain","Dallain","SEL-19-12","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
